Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,123.449997,125.650002,121.099998,121.699997,121.699997,43530882
2020-08-21,124.199997,124.199997,120.150002,120.900002,120.900002,48650204
2020-08-24,122,123,120.800003,121.199997,121.199997,31294253
2020-08-25,121.800003,128.350006,121.099998,127.099998,127.099998,90263366
2020-08-26,130.5,139,128.350006,137.899994,137.899994,197510376
2020-08-27,140.100006,146.850006,139.300003,144.25,144.25,181380747
2020-08-28,144.149994,146.199997,140.5,142.800003,142.800003,95194825
2020-08-31,144.5,147.949997,138.199997,143.199997,143.199997,160564488
2020-09-01,143.399994,145.149994,140.399994,143.800003,143.800003,58811543
2020-09-02,144.300003,151.649994,141.449997,150.300003,150.300003,74947929
2020-09-03,151.600006,155.199997,149.550003,151.850006,151.850006,110156350
2020-09-04,147.899994,153.649994,147,147.800003,147.800003,95560889
2020-09-07,150,152,148,149.399994,149.399994,82617101
2020-09-08,149.449997,149.600006,141.199997,142.300003,142.300003,76286731
2020-09-09,141,141.75,135.699997,140.100006,140.100006,105355010
2020-09-10,142.800003,144.5,138,143.300003,143.300003,79606504
2020-09-11,143.100006,146.800003,141.649994,144.300003,144.300003,65135339
2020-09-14,147.199997,151.100006,145.5,148.550003,148.550003,84505930
2020-09-15,149.399994,149.399994,146.550003,148.399994,148.399994,42886817
2020-09-16,149.199997,154.300003,148.550003,151.449997,151.449997,85056501
2020-09-17,150.800003,151,146.199997,147.649994,147.649994,48119360
2020-09-18,148.699997,150.5,146.25,147.899994,147.899994,46270863
2020-09-21,147.75,147.75,135.5,137.449997,137.449997,64734493
2020-09-22,138,138.149994,129.649994,133.100006,133.100006,87298020
2020-09-23,135.5,136.699997,127.900002,131.399994,131.399994,74981613
2020-09-24,127.900002,128.800003,122.150002,122.800003,122.800003,62420957
2020-09-25,123.699997,128.350006,123.099998,127.25,127.25,65040759
2020-09-28,128.899994,134.300003,127.5,132.850006,132.850006,61830817
2020-09-29,134.949997,136,130.699997,131.699997,131.699997,63366932
2020-09-30,131.550003,134.399994,130.300003,133.300003,133.300003,48859088
2020-10-01,135.899994,136.5,132.550003,133.5,133.5,40491744
2020-10-05,136.949997,137.5,132.050003,133.899994,133.899994,55268322
2020-10-06,138,145.800003,136,144.75,144.75,161987221
2020-10-07,144.25,144.5,139.800003,141,141,68273641
2020-10-08,142.850006,143.5,139.600006,140.949997,140.949997,40900948
2020-10-09,141.149994,142.649994,138,138.449997,138.449997,37097190
2020-10-12,139.649994,139.649994,133,135.899994,135.899994,39279109
2020-10-13,135.399994,137.100006,132.850006,134.100006,134.100006,38973506
2020-10-14,133.75,134.649994,128.800003,130.699997,130.699997,45791440
2020-10-15,131.5,134.350006,126.5,126.949997,126.949997,64002864
2020-10-16,129.399994,130.050003,126,127.75,127.75,62553775
2020-10-19,129.800003,130.399994,127.800003,128.25,128.25,33157664
2020-10-20,128.100006,130.300003,126.349998,129.649994,129.649994,27465829
2020-10-21,131.050003,133.100006,128.300003,130.25,130.25,39252663
2020-10-22,129.699997,134.600006,128.449997,133.5,133.5,48808592
2020-10-23,134.899994,138.899994,134.100006,137,137,68711352
2020-10-26,138.399994,140.800003,131.25,133.699997,133.699997,88531579
2020-10-27,134.149994,136.75,130.850006,135.649994,135.649994,56856159
2020-10-28,139,143.25,133.5,134.800003,134.800003,152359338
2020-10-29,132,133,130,131.899994,131.899994,66632704
2020-10-30,133.199997,134.5,130.300003,132.649994,132.649994,51128530
2020-11-02,133.649994,134,131.100006,132.850006,132.850006,40388690
2020-11-03,135,137.399994,133.550003,134.100006,134.100006,52071476
2020-11-04,135.600006,137,134,135.899994,135.899994,44675934
2020-11-05,137,138,136,137.649994,137.649994,38928602
2020-11-06,137.649994,142.300003,137.649994,139,139,67966815
2020-11-09,140.600006,141.5,138.699997,141,141,40277460
2020-11-10,144.050003,146.699997,142.75,146,146,68794369
2020-11-11,146.5,151.5,145.649994,150.949997,150.949997,78583629
2020-11-12,150.949997,153.850006,150,151.199997,151.199997,56145517
2020-11-13,150,150,145.350006,146.350006,146.350006,32566537
2020-11-17,152.5,159.350006,152.199997,158,158,82644841
2020-11-18,158.850006,178.800003,158.550003,173.5,173.5,171801183
2020-11-19,171.399994,176.350006,166.550003,167.949997,167.949997,109449407
2020-11-20,170.050003,171.550003,165.550003,169.100006,169.100006,66935703
2020-11-23,169.5,173.899994,165.550003,170.699997,170.699997,54566251
2020-11-24,171.850006,175.5,171.100006,172.050003,172.050003,47695247
2020-11-25,175,176.800003,169.25,171.449997,171.449997,54366608
2020-11-26,171.600006,175,171.050003,173.75,173.75,39094724
2020-11-27,174.649994,183.850006,174.649994,180.350006,180.350006,125926062
2020-12-01,182.350006,182.399994,178.100006,179.75,179.75,48881250
2020-12-02,184,187.350006,181.100006,183.600006,183.600006,88107889
2020-12-03,185,186,183.25,184.850006,184.850006,33332481
2020-12-04,186.5,188.800003,182.199997,184.149994,184.149994,47995639
2020-12-07,184.449997,186.449997,182.699997,183.550003,183.550003,29802472
2020-12-08,184.949997,185.699997,178.949997,181.800003,181.800003,42143391
2020-12-09,183,186.399994,181.649994,182.699997,182.699997,40300535
2020-12-10,182.699997,182.699997,176.399994,177.600006,177.600006,38368777
2020-12-11,177.949997,181.449997,176.5,178.850006,178.850006,43065542
2020-12-14,181,181.5,176.699997,177.649994,177.649994,33186273
2020-12-15,176.449997,179.699997,173.25,178.899994,178.899994,41190341
2020-12-16,181,183.800003,180.100006,182.550003,182.550003,51259394
2020-12-17,184,184,180.649994,181.699997,181.699997,34101954
2020-12-18,180.899994,181.5,176.649994,180.550003,180.550003,46065197
2020-12-21,176,177.550003,162.5,164.550003,164.550003,75582907
2020-12-22,164.550003,169.199997,156.699997,164.949997,164.949997,110009846
2020-12-23,165,169.699997,163.399994,169.199997,169.199997,56930071
2020-12-24,172,178,172,175.949997,175.949997,73831319
2020-12-28,179.850006,187.399994,179,186.350006,186.350006,98012135
2020-12-29,187.899994,188.449997,181.100006,183.449997,183.449997,71318085
2020-12-30,183.100006,185.399994,180.399994,184.149994,184.149994,38576159
2020-12-31,184.850006,187.5,182.800003,183.850006,183.850006,48978310
2021-01-01,184.949997,187,184.5,186.5,186.5,27334421
2021-01-04,191.800003,193,188.75,191.300003,191.300003,63980597
2021-01-05,187.100006,193.899994,185.050003,193.199997,193.199997,75752593
2021-01-06,194.449997,197.600006,190.649994,195.399994,195.399994,75621947
2021-01-07,197,200.350006,195.100006,196.75,196.75,66024848
2021-01-08,198.75,201.5,197.100006,198.149994,198.149994,53991568
2021-01-11,199.899994,225.399994,199.649994,220.649994,220.649994,182483100
2021-01-12,227,252.399994,224.100006,237.800003,237.800003,390577839
2021-01-13,242.899994,248.800003,238.399994,242.600006,242.600006,164649387
2021-01-14,242.850006,249.800003,238.600006,245.100006,245.100006,86819519
2021-01-15,246,264.649994,242.600006,260.299988,260.299988,250038029
2021-01-18,261.649994,262.450012,241.149994,245.949997,245.949997,173383224
2021-01-19,251.5,261.700012,251.300003,258.649994,258.649994,136861059
2021-01-20,260,277.5,258.850006,274.899994,274.899994,205145151
2021-01-21,281,299,280,290.600006,290.600006,283614463
2021-01-22,295.950012,306.899994,278.350006,289.350006,289.350006,316008609
2021-01-25,296.899994,299.5,277.350006,279.149994,279.149994,164346913
2021-01-27,274.899994,275,265.700012,267.5,267.5,126586833
2021-01-28,260.049988,273.399994,259.049988,266.799988,266.799988,129156876
2021-01-29,273,278.799988,260.600006,262.700012,262.700012,138442348
2021-02-01,269.75,282,255.350006,279.600006,279.600006,165655500
2021-02-02,293.600006,328.850006,290.399994,322,322,251965965
2021-02-03,339.200012,341.899994,326.200012,331,331,224190114
2021-02-04,329,334.5,322.450012,326.149994,326.149994,121033002
2021-02-05,327.600006,330,312.600006,315.899994,315.899994,103512235
2021-02-08,318.75,339.25,318,335.950012,335.950012,102123614
2021-02-09,337,338.5,322.200012,325.049988,325.049988,105981081
2021-02-10,326,332.649994,319.5,328.899994,328.899994,93466949
2021-02-11,326.450012,331.350006,323.399994,325,325,55257166
2021-02-12,326.399994,330.5,321.25,325.399994,325.399994,64093642
2021-02-15,329.899994,335.799988,324,333.350006,333.350006,78680452
2021-02-16,335.450012,337.899994,327.5,329.200012,329.200012,65943843
2021-02-17,326.899994,334.25,325.450012,330.149994,330.149994,52150941
2021-02-18,331.5,331.75,321.100006,323.850006,323.850006,49204247
2021-02-19,321.950012,321.950012,301.399994,311.850006,311.850006,80274683
2021-02-22,312.450012,313.899994,302.149994,304.5,304.5,57723298
2021-02-23,308.5,328.899994,308.5,324,324,133310157
2021-02-24,325,330,316.5,321.649994,321.649994,50821757
2021-02-25,325.350006,334.700012,323.25,333.149994,333.149994,64514912
2021-02-26,323,332.950012,318.850006,322.950012,322.950012,91901339
2021-03-01,330,331.850006,322.700012,328.299988,328.299988,61190868
2021-03-02,331.100006,347.200012,326.450012,345.75,345.75,127708761
2021-03-03,348.649994,357,346.5,348.5,348.5,92006451
2021-03-04,339,345.399994,337.299988,339.200012,339.200012,59863169
2021-03-05,333,337.850006,319.700012,325.149994,325.149994,86738909
2021-03-08,331.75,331.75,318.799988,321.25,321.25,81925952
2021-03-09,325,328.350006,309.600006,315.200012,315.200012,74702208
2021-03-10,319.5,324.450012,316.700012,321.450012,321.450012,58643853
2021-03-12,325.049988,326.5,314.149994,317.549988,317.549988,48360842
2021-03-15,320,320.399994,310.049988,318.549988,318.549988,45081385
2021-03-16,321,321.899994,315.100006,319.950012,319.950012,39267404
2021-03-17,318.600006,320,304,305.799988,305.799988,47262481
2021-03-18,311,316.600006,299.75,307,307,73731921
2021-03-19,303.5,311,290.200012,308.950012,308.950012,109932681
2021-03-22,306.450012,307.5,300.100006,303.049988,303.049988,56385019
2021-03-23,305,312.25,304,307.399994,307.399994,60240483
2021-03-24,303.549988,305,293.200012,294.450012,294.450012,61523819
2021-03-25,294,294,282.25,285.549988,285.549988,84528317
2021-03-26,290.5,301.399994,290.5,296.399994,296.399994,80924011
2021-03-30,300.5,301.299988,292.700012,297.049988,297.049988,45257233
2021-03-31,299,307.5,297.5,301.799988,301.799988,58569012
2021-04-01,306.75,309.850006,303.049988,307.75,307.75,44088352
2021-04-05,306.799988,311.700012,297.200012,305.049988,305.049988,66178755
2021-04-06,306.149994,313.799988,304.799988,307.75,307.75,63031783
2021-04-07,306.75,310.649994,305.100006,307.799988,307.799988,39073986
2021-04-08,307.899994,319.799988,307.5,313.950012,313.950012,62459774
